时间	热浴温度/K	样品电阻/Ω	参考电阻/Ω	磁场电压
2132.277999639511	nan	2440.98	3992.4	4.53507369e-05
2133.0127482414246	nan	2441.0	3992.6	4.59467371e-05
2133.8158898353577	nan	2441.0	3992.7	4.52169409e-05
2134.5522644519806	nan	2441.01	3992.4	4.60562065e-05
2135.2854912281036	nan	2440.97	3992.2	4.71995538e-05
2136.0337834358215	nan	2440.95	3992.1	4.56548118e-05
2136.8111667633057	nan	2440.97	3992.0	4.65913833e-05
2137.544350862503	nan	2440.98	3992.1	4.64819139e-05
2138.2865719795227	nan	2440.93	3992.2	4.53993832e-05
2139.0257675647736	nan	2440.96	3992.3	4.75036284e-05
2139.8455743789673	nan	2440.92	3992.5	4.62264913e-05
2140.5803134441376	nan	2440.95	3992.3	4.61291852e-05
2141.3143525123596	nan	2440.97	3992.3	4.54602054e-05
2142.0536284446716	nan	2440.93	3992.5	4.56061646e-05
2142.8360431194305	nan	2440.89	3992.4	4.58251035e-05
2143.5691299438477	nan	2440.9	3992.1	4.687114e-05
2144.303248643875	nan	2440.91	3992.1	4.66522012e-05
2145.0650374889374	nan	2440.87	3992.3	4.52534254e-05
2145.8103342056274	nan	2440.89	3992.2	4.7418487e-05
2146.5682044029236	nan	2440.85	3992.2	4.66765181e-05
2147.3067877292633	nan	2440.83	3992.1	4.67859875e-05
2148.0530335903168	nan	2440.86	3992.1	4.66765181e-05
2148.8126106262207	nan	2440.86	3992.1	4.59953753e-05
2149.546987056732	nan	2440.83	3992.1	4.77347222e-05
2150.2812435626984	nan	2440.85	3992.1	4.60683502e-05
2151.0184030532837	nan	2440.86	3992.1	4.51196156e-05
2151.819235563278	nan	2440.86	3992.4	4.64940644e-05
2152.5739254951477	nan	2440.85	3992.5	4.56669625e-05
2153.31293964386	nan	2440.82	3992.2	4.66400236e-05
2154.0536873340607	nan	2440.82	3992.5	4.6530549e-05
2154.8460800647736	nan	2440.84	3992.4	4.62751205e-05
2155.5805130004883	nan	2440.81	3992.3	4.68224673e-05
2156.3138403892517	nan	2440.79	3992.3	4.64210796e-05
2157.0512845516205	nan	2440.79	3992.3	4.56669574e-05
2157.878219604492	nan	2440.78	3992.2	4.56304653e-05
2158.6993448734283	nan	2440.74	3992.3	4.53507103e-05
2159.4465243816376	nan	2440.73	3992.3	4.47425472e-05
2160.188447713852	nan	2440.76	3992.1	4.53993633e-05
2160.939100265503	nan	2440.76	3992.3	4.35870463e-05
2161.674638032913	nan	2440.75	3992.1	4.63481072e-05
2162.408877849579	nan	2440.74	3992.3	4.77955357e-05
2163.155649662018	nan	2440.75	3992.5	4.51682706e-05
2163.890637397766	nan	2440.69	3992.3	4.75401071e-05
